Features: 16,,,,,,,,,,
Target Class: bodytrack,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.95918367,27
"Nu: 0.2, Gamma: 0.7",3,2,3,36,88.63636364,0,40,,,
"Nu: 0.2, Gamma: 0.9",4,1,3,36,90.90909091,0,40,,,
"Nu: 0.2, Gamma: 0.99",4,1,1,38,95.45454545,0,40,,,
"Nu: 0.5, Gamma: 0.0001",2,3,17,22,54.54545455,0,40,,,
"Nu: 0.5, Gamma: 0.0002",2,3,20,19,47.72727273,0,40,,,
"Nu: 0.5, Gamma: 0.0003",3,2,20,19,50,0,40,,,
"Nu: 0.5, Gamma: 0.0004",3,2,20,19,50,0,40,,,
"Nu: 0.5, Gamma: 0.005",3,2,20,19,50,0,40,,,
"Nu: 0.5, Gamma: 0.05",3,2,20,19,50,0,40,,,
"Nu: 0.5, Gamma: 0.0625",3,2,19,20,52.27272727,0,40,,,
"Nu: 0.5, Gamma: 0.1",3,2,17,22,56.81818182,0,40,,,
"Nu: 0.5, Gamma: 0.2",3,2,9,30,75,0,40,,,
"Nu: 0.5, Gamma: 0.5",2,3,3,36,86.36363636,0,40,,,
"Nu: 0.5, Gamma: 0.7",3,2,3,36,88.63636364,0,40,,,
"Nu: 0.5, Gamma: 0.9",3,2,2,37,90.90909091,0,40,,,
"Nu: 0.5, Gamma: 0.99",3,2,0,39,95.45454545,0,40,,,
"Nu: 0.7, Gamma: 0.0001",2,3,8,31,75,0,40,,,
"Nu: 0.7, Gamma: 0.0002",2,3,8,31,75,0,40,,,
"Nu: 0.7, Gamma: 0.0003",2,3,10,29,70.45454545,0,40,,,
"Nu: 0.7, Gamma: 0.0004",2,3,10,29,70.45454545,0,40,,,
"Nu: 0.7, Gamma: 0.005",2,3,9,30,72.72727273,0,40,,,
"Nu: 0.7, Gamma: 0.05",2,3,7,32,77.27272727,0,40,,,
"Nu: 0.7, Gamma: 0.0625",2,3,6,33,79.54545455,0,40,,,
