Features: 16,,,,,,,,,,
Target Class: canneal,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,92.72727273,302
"Nu: 0.9, Gamma: 0.0002",0,5,17,33,60,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,5,17,33,60,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,5,17,33,60,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,5,16,34,61.81818182,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,5,14,36,65.45454545,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,5,13,37,67.27272727,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,5,10,40,72.72727273,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,5,6,44,80,0,40,,,
"Nu: 0.9, Gamma: 0.5",2,3,1,49,92.72727273,0,40,,,
"Nu: 0.9, Gamma: 0.7",2,3,1,49,92.72727273,0,40,,,
