Features: 16,,,,,,,,,,
Target Class: canneal,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,91.07142857,174
"Nu: 0.2, Gamma: 0.0625",4,1,45,6,17.85714286,0,40,,,
"Nu: 0.2, Gamma: 0.1",4,1,45,6,17.85714286,0,40,,,
"Nu: 0.2, Gamma: 0.2",4,1,34,17,37.5,0,40,,,
"Nu: 0.2, Gamma: 0.5",5,0,34,17,39.28571429,0,40,,,
"Nu: 0.2, Gamma: 0.7",4,1,35,16,35.71428571,0,40,,,
"Nu: 0.2, Gamma: 0.9",4,1,33,18,39.28571429,0,40,,,
"Nu: 0.2, Gamma: 0.99",4,1,32,19,41.07142857,0,40,,,
"Nu: 0.5, Gamma: 0.0001",0,5,21,30,53.57142857,0,40,,,
"Nu: 0.5, Gamma: 0.0002",0,5,24,27,48.21428571,0,40,,,
"Nu: 0.5, Gamma: 0.0003",0,5,24,27,48.21428571,0,40,,,
"Nu: 0.5, Gamma: 0.0004",0,5,24,27,48.21428571,0,40,,,
"Nu: 0.5, Gamma: 0.005",1,4,24,27,50,0,40,,,
"Nu: 0.5, Gamma: 0.05",1,4,24,27,50,0,40,,,
"Nu: 0.5, Gamma: 0.0625",1,4,24,27,50,0,40,,,
"Nu: 0.5, Gamma: 0.1",1,4,24,27,50,0,40,,,
"Nu: 0.5, Gamma: 0.2",0,5,24,27,48.21428571,0,40,,,
"Nu: 0.5, Gamma: 0.5",3,2,10,41,78.57142857,0,40,,,
"Nu: 0.5, Gamma: 0.7",3,2,5,46,87.5,0,40,,,
"Nu: 0.5, Gamma: 0.9",2,3,2,49,91.07142857,0,40,,,
"Nu: 0.5, Gamma: 0.99",2,3,4,47,87.5,0,40,,,
"Nu: 0.7, Gamma: 0.0001",0,5,20,31,55.35714286,0,40,,,
"Nu: 0.7, Gamma: 0.0002",0,5,19,32,57.14285714,0,40,,,
"Nu: 0.7, Gamma: 0.0003",0,5,19,32,57.14285714,0,40,,,
"Nu: 0.7, Gamma: 0.0004",0,5,19,32,57.14285714,0,40,,,
"Nu: 0.7, Gamma: 0.005",0,5,20,31,55.35714286,0,40,,,
"Nu: 0.7, Gamma: 0.05",0,5,20,31,55.35714286,0,40,,,
"Nu: 0.7, Gamma: 0.0625",0,5,20,31,55.35714286,0,40,,,
"Nu: 0.7, Gamma: 0.1",0,5,20,31,55.35714286,0,40,,,
"Nu: 0.7, Gamma: 0.2",0,5,20,31,55.35714286,0,40,,,
"Nu: 0.7, Gamma: 0.5",0,5,18,33,58.92857143,0,40,,,
"Nu: 0.7, Gamma: 0.7",0,5,15,36,64.28571429,0,40,,,
"Nu: 0.7, Gamma: 0.9",0,5,7,44,78.57142857,0,40,,,
"Nu: 0.7, Gamma: 0.99",0,5,5,46,82.14285714,0,40,,,
"Nu: 0.9, Gamma: 0.0001",0,5,4,47,83.92857143,0,40,,,
"Nu: 0.9, Gamma: 0.0002",0,5,5,46,82.14285714,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,5,5,46,82.14285714,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,5,1,50,89.28571429,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,5,5,46,82.14285714,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,5,5,46,82.14285714,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,5,5,46,82.14285714,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,5,5,46,82.14285714,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,5,5,46,82.14285714,0,40,,,
"Nu: 0.9, Gamma: 0.5",0,5,6,45,80.35714286,0,40,,,
"Nu: 0.9, Gamma: 0.7",0,5,6,45,80.35714286,0,40,,,
"Nu: 0.9, Gamma: 0.9",0,5,6,45,80.35714286,0,40,,,
