Features: 16,,,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,98.20143885,26
"Nu: 0.7, Gamma: 0.2",6,21,29,68,59.67741935,0,40,,,
"Nu: 0.7, Gamma: 0.5",6,21,26,71,62.09677419,0,40,,,
"Nu: 0.7, Gamma: 0.7",7,20,24,73,64.51612903,0,40,,,
"Nu: 0.7, Gamma: 0.9",6,21,19,78,67.74193548,0,40,,,
"Nu: 0.7, Gamma: 0.99",6,21,19,78,67.74193548,0,40,,,
"Nu: 0.9, Gamma: 0.0001",3,24,16,81,67.74193548,0,40,,,
"Nu: 0.9, Gamma: 0.0002",3,24,15,82,68.5483871,0,40,,,
"Nu: 0.9, Gamma: 0.0003",3,24,15,82,68.5483871,0,40,,,
"Nu: 0.9, Gamma: 0.0004",3,24,15,82,68.5483871,0,40,,,
"Nu: 0.9, Gamma: 0.005",3,24,15,82,68.5483871,0,40,,,
"Nu: 0.9, Gamma: 0.05",3,24,14,83,69.35483871,0,40,,,
"Nu: 0.9, Gamma: 0.0625",3,24,14,83,69.35483871,0,40,,,
"Nu: 0.9, Gamma: 0.1",3,24,12,85,70.96774194,0,40,,,
"Nu: 0.9, Gamma: 0.2",3,24,10,87,72.58064516,0,40,,,
"Nu: 0.9, Gamma: 0.5",3,24,1,96,79.83870968,0,40,,,
"Nu: 0.9, Gamma: 0.7",2,25,0,97,79.83870968,0,40,,,
