Features: 16,,,,,,,
Target Class: vips,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling
"Nu: 0.9, Gamma: 0.0004",2,11,17,94,77.41935484,0,40
"Nu: 0.9, Gamma: 0.005",2,11,17,94,77.41935484,0,40
"Nu: 0.9, Gamma: 0.05",2,11,13,98,80.64516129,0,40
"Nu: 0.9, Gamma: 0.0625",2,11,13,98,80.64516129,0,40
"Nu: 0.9, Gamma: 0.1",2,11,12,99,81.4516129,0,40
"Nu: 0.9, Gamma: 0.2",2,11,9,102,83.87096774,0,40
"Nu: 0.9, Gamma: 0.5",1,12,0,111,90.32258065,0,40
"Nu: 0.9, Gamma: 0.7",1,12,0,111,90.32258065,0,40
"Nu: 0.9, Gamma: 0.9",1,12,0,111,90.32258065,0,40
"Nu: 0.9, Gamma: 0.99",0,13,0,111,89.51612903,0,40
"Nu: 0.99, Gamma: 0.0001",0,13,1,110,88.70967742,0,40
"Nu: 0.99, Gamma: 0.0002",1,12,5,106,86.29032258,0,40
"Nu: 0.99, Gamma: 0.0003",1,12,2,109,88.70967742,0,40
"Nu: 0.99, Gamma: 0.0004",1,12,2,109,88.70967742,0,40
"Nu: 0.99, Gamma: 0.005",1,12,2,109,88.70967742,0,40
"Nu: 0.99, Gamma: 0.05",1,12,4,107,87.09677419,0,40
"Nu: 0.99, Gamma: 0.0625",1,12,4,107,87.09677419,0,40
"Nu: 0.99, Gamma: 0.1",1,12,2,109,88.70967742,0,40
"Nu: 0.99, Gamma: 0.2",0,13,2,109,87.90322581,0,40
"Nu: 0.99, Gamma: 0.5",0,13,0,111,89.51612903,0,40
"Nu: 0.99, Gamma: 0.7",0,13,0,111,89.51612903,0,40
"Nu: 0.99, Gamma: 0.9",0,13,0,111,89.51612903,0,40
"Nu: 0.99, Gamma: 0.99",0,13,0,111,89.51612903,0,40
,,,,,,,
Features: 16,,,,,,,
Target Class: vips,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling
"Nu: 0.0001, Gamma: 0.0001",0,12,0,125,91.24087591,10,40
"Nu: 0.0001, Gamma: 0.0002",12,0,103,22,24.81751825,10,40
"Nu: 0.0001, Gamma: 0.0003",12,0,103,22,24.81751825,10,40
"Nu: 0.0001, Gamma: 0.0004",12,0,103,22,24.81751825,10,40
"Nu: 0.0001, Gamma: 0.005",12,0,103,22,24.81751825,10,40
"Nu: 0.0001, Gamma: 0.05",12,0,124,1,9.489051095,10,40
"Nu: 0.0001, Gamma: 0.0625",12,0,124,1,9.489051095,10,40
"Nu: 0.0001, Gamma: 0.1",12,0,105,20,23.35766423,10,40
"Nu: 0.0001, Gamma: 0.2",12,0,104,21,24.08759124,10,40
"Nu: 0.0001, Gamma: 0.5",12,0,103,22,24.81751825,10,40
