Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,98.80952381,118
"Nu: 0.7, Gamma: 0.1",6,18,22,94,71.42857143,0,40,,,
"Nu: 0.7, Gamma: 0.2",6,18,2,114,85.71428571,0,40,,,
"Nu: 0.7, Gamma: 0.5",10,14,1,115,89.28571429,0,40,,,
"Nu: 0.7, Gamma: 0.7",10,14,1,115,89.28571429,0,40,,,
"Nu: 0.7, Gamma: 0.9",11,13,1,115,90,0,40,,,
"Nu: 0.7, Gamma: 0.99",9,15,1,115,88.57142857,0,40,,,
"Nu: 0.9, Gamma: 0.0001",1,23,0,116,83.57142857,0,40,,,
"Nu: 0.9, Gamma: 0.0002",0,24,0,116,82.85714286,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,24,0,116,82.85714286,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,24,0,116,82.85714286,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,24,0,116,82.85714286,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,24,0,116,82.85714286,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,24,0,116,82.85714286,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,24,0,116,82.85714286,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,24,0,116,82.85714286,0,40,,,
"Nu: 0.9, Gamma: 0.5",1,23,0,116,83.57142857,0,40,,,
"Nu: 0.9, Gamma: 0.7",4,20,1,115,85,0,40,,,
"Nu: 0.9, Gamma: 0.9",4,20,0,116,85.71428571,0,40,,,
