Features: 16,,,,,,,,,,
Target Class: vips,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.30769231,329
"Nu: 0.7, Gamma: 0.2",4,8,37,81,65.38461538,0,40,,,
"Nu: 0.7, Gamma: 0.5",7,5,23,95,78.46153846,0,40,,,
"Nu: 0.7, Gamma: 0.7",5,7,20,98,79.23076923,0,40,,,
"Nu: 0.7, Gamma: 0.9",5,7,22,96,77.69230769,0,40,,,
"Nu: 0.7, Gamma: 0.99",5,7,19,99,80,0,40,,,
"Nu: 0.9, Gamma: 0.0001",0,12,6,112,86.15384615,0,40,,,
"Nu: 0.9, Gamma: 0.0002",0,12,6,112,86.15384615,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,12,7,111,85.38461538,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,12,7,111,85.38461538,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,12,7,111,85.38461538,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,12,11,107,82.30769231,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,12,11,107,82.30769231,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,12,10,108,83.07692308,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,12,15,103,79.23076923,0,40,,,
"Nu: 0.9, Gamma: 0.5",1,11,1,117,90.76923077,0,40,,,
"Nu: 0.9, Gamma: 0.7",1,11,1,117,90.76923077,0,40,,,
